Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Cascade,Cook,Lutsen,415.0,415.0,17.0,8.0,,
Cascade,Crow Wing,Deerwood,44.11,37.0,24.0,11.0,,
Cascade,Olmsted,Rochester,78.0,78.0,74.0,27.0,,
Casey,Crow Wing,Cuyuna,59.6,45.0,39.0,10.0,,
Cass,Beltrami,Cass Lake,15596.0,3119.0,120.0,,4003000.0,
Cassidy,Wright,Silver Creek,15.11,9.0,37.0,,,
Cass County Lake,Todd,Lincoln,25.0,25.0,12.0,1.0,,
Cat,Lake,Isabella,43.4,33.5,21.0,11.7,,
Cattyman,Lake,Prairie Portage,16.75,16.75,9.0,7.5,,
Cavanaugh,Itasca,Cohasset,67.0,44.0,48.0,14.0,,
Cavanaugh,Hennepin,Oak Knoll,13.0,13.0,9.0,3.0,,
Cedar,Aitkin,Aitkin,1769.0,405.0,105.0,5.8,,
Cedar,Aitkin,McGrath,232.0,215.0,18.0,2.5,,
Cedar,Rice,Faribault,804.0,673.0,42.0,2.0,,
Cedar,Hennepin,Minneapolis,169.0,63.0,51.0,5.5,,
Cedar,Martin,Trimont,707.0,707.0,7.0,2.0,,
Cedar,McLeod,Cedar Mills,1924.0,1924.0,8.0,5.8,,
Cedar,Morrison,Upsala,235.64,66.0,88.0,16.1,,
Cedar,Scott,New Prague,780.0,780.0,13.0,3.1,,
Cedar,Stearns,Sauk Centre,169.0,169.0,16.0,3.0,,
Cedar,Wright,Delano,,,,,,
Cedar,Wright,Monticello,163.06,131.0,47.0,15.5,,
Cedar Island,St. Louis,Biwabik,185.0,176.0,20.0,3.0,,
Cedar Island,Stearns,Richmond,998.0,755.0,75.0,2.3,,
Cemetery Pond,Hennepin,Nicols,3.0,3.0,8.0,6.0,,
Center (North),Chisago,Center City,725.0,608.0,46.0,1.7,,
Center (South),Chisago,Lindstrom,835.0,561.0,109.0,3.6,,
Centerville,Anoka,Centerville,455.0,276.0,19.0,3.2,,
Chandler Marsh,Murray,Chandler,58.0,58.0,6.0,1.3,,
Charlotte,Wright,Hanover,252.52,94.0,46.0,15.8,,
Chase,Itasca,Deer River,209.0,68.0,95.0,20.5,,
Chelgren,Wright,Stockholm,53.54,37.0,24.0,2.43,,
Chicken,Meeker,Litchfield,116.0,116.0,,3.9,,
Chicken Drop Marsh,Clay,Dale,,,,,,
Child,Cass,Longville,316.0,158.0,29.0,10.0,,
Chippewa (Big),Douglas,Brandon,1186.0,505.0,95.0,7.0,,
Chippewa (Little),Douglas,Brandon,270.0,126.0,24.0,9.0,,
Chisago City,Chisago,Chisago,873.0,695.0,34.0,,,
Christianson Marsh,Lyon,Amiret,22.0,22.0,4.0,1.5,,
Christina,Douglas,Ashby,3978.0,3978.0,14.0,,21037500.0,
Christmas,Hennepin,Eden Prairie,257.0,77.0,87.0,18.8,,
Christmas,Morrison,Hillman,29.0,29.0,,7.08,,
Chub,Carlton,Carlton,311.0,169.0,28.0,7.25,,
Chub,Dakota,Farmington,274.0,274.0,10.0,,,
Chub,St. Louis,Ash Lake,125.0,125.0,15.0,6.0,,
Church,Mahnomen,Mahnomen,167.0,161.0,19.0,1.9,,
Circle,Rice,Lonsdale,624.0,624.0,14.0,,,
Clark,Crow Wing,Nisswa,305.41,264.0,31.0,15.0,,
Clark,Lake,McNair,51.0,51.0,4.0,2.0,,
Clark,St. Louis,Ely,73.43,24.0,44.0,12.0,,
Clark Logan,Aitkin,Hassman,34.0,34.0,10.0,,,
Clarke,Itasca,Cohasset,37.0,27.0,34.0,12.0,,
Clear,Aitkin,Glen,562.0,363.0,24.0,15.5,,
Clear,Brown County,Sleepy Eye,263.3,59.0,21.0,,,
Clear,Crow Wing,Jenkins,220.0,59.0,63.0,19.0,,
Clear,Goodhue,Hastings,198.0,392.0,7.0,,,
Clear,Jackson,Jackson,415.0,415.0,9.0,2.2,,
Clear,Lyon,Russell,65.76,68.0,11.0,1.0,,
Clear,Le Sueur,Lexington,268.0,198.0,18.0,2.3,,
Clear,Meeker,Watkins,497.0,441.0,18.0,1.5,,
Clear,Otter Tail,Dalton,352.0,153.0,29.0,8.1,,
Clear,Sherburne,Clearwater,112.59,50.0,30.0,11.0,,
Clear,Sibley,Gibbon,469.0,469.0,8.0,,,
Clear,St. Louis,Ely,119.0,97.0,24.0,11.0,,
Clear,St. Louis,Buhl,112.0,94.0,24.0,10.5,,
Clear,Waseca,Waseca,652.0,448.0,34.0,,,
Clear,Washington,Forest Lake,424.0,267.0,28.0,4.5,,
Clear,Washington,Maple Island,41.72,29.0,27.0,8.5,,
Clear,Washington,Woodbury,,,,,,
Clear Lake City Pond,Sherburne,Clear Lake,175.0,175.0,,5.08,,
Clear Pond,Sherburne,Clear Lake,,,,,,
Clearwater,Beltrami,Leonard,1008.0,339.0,65.0,10.5,,
Clearwater,Crow Wing,Deerwood,880.0,252.0,54.0,14.0,,
Clearwater,Wright,Annandale,3158.27,1595.6,78.0,4.5,86025200.0,
Clinker,Crow Wing,Crosby,80.72,43.0,35.0,12.0,,
Clitherall,Otter Tail,Dalton,2493.0,805.0,69.0,9.3,,
Clitty,Sherburne,Becker,26.0,26.0,,4.26,,
Clover Hill,Saint Mathias,Crow Wing,,,,,,
Clubhouse,Itasca,Marcell,210.0,32.0,103.0,17.0,,
Cobblecrest,Hennepin,Oak Knoll,9.0,9.0,20.0,10.0,,
Cockburn,Morrison,Fort Ripley,22.0,22.0,21.0,8.8,,
Cody,Rice,Montgomery,257.0,257.0,14.0,0.7,,
Cokato,Wright,Cokato,552.78,184.0,52.0,3.6,,
Colby,St. Louis,Hoyt Lakes,539.0,377.0,30.0,4.0,,
Colby,Washington,Woodbury,70.0,,11.0,,,
Cold Spring Dam Pool,Stearns,Cold Spring,77.0,77.0,12.0,3.0,,
Coleman,Itasca,Rosy,46.0,46.0,,4.9,,
Collins,Meeker,Lamson,67.0,67.0,,4.76,,
Collinwood,Wright,Dassel,638.93,351.0,28.0,3.1,,
Comfort,Chisago,Wyoming,219.0,90.0,47.0,3.8,,
Command,Crow Wing,Fifty Lakes,21.44,21.44,,19.0,,
Como,Ramsey,St. Paul,66.7,66.5,15.5,1.5,,
Comstock,St. Louis,Whiteface,443.0,310.0,30.0,4.0,,
Conger's Slough,Lyon,Taunton,78.0,78.0,9.0,3.3,,
Conley,Dakota,Hastings,77.0,77.0,9.0,3.0,,
Constance,Wright,Buffalo,174.57,87.0,23.0,5.0,,
Coofie Marsh,Morrison,Lincoln,23.0,23.0,,6.99,,
Cook,Douglas,Alexandria,95.0,66.0,50.0,12.0,,
Cook,Hennepin,Corcoran,9.18,9.18,20.0,12.0,,
Cook,Wright,Delano,105.0,105.0,,2.19,,
Cook County Lake,Lake,Prairie Portage,43.0,43.0,38.0,10.3,,
Cooks,Otter Tail,Bucks Mill,60.0,44.0,44.0,4.5,,
Cooks,St. Louis,Taft,96.57,90.0,19.0,8.0,,
Cookoosh,Lake,Fall Lake Twp.,11.0,11.0,22.0,11.0,,
Coon,Anoka,Soderville,1259.0,1098.0,27.0,6.75,,
Coon,Itasca,Big Fork,627.0,504.0,36.0,11.4,,
Coon,Morrison,Buckman,,,,,,
Coon,Morrison,Burtrum,42.0,42.0,,6.52,,
Coon Stump,Morrison,Fort Ripley,,,,,,
Coopers,Anoka,East Bethel,44.0,44.0,8.0,,,
Corabelle,Murray,,,,,,,
Cormorant (Big),Becker,Audubon,3421.0,812.0,75.0,10.0,,
Cormorant (Little),Becker,Audubon,924.0,619.0,34.0,11.5,,
Cornell,Wright,Hasty,29.0,29.0,,7.58,,
Corner,Morrison,Lincoln,,,,,,
Corner Pond,Stearns,Avon,3.0,3.0,8.0,4.0,,
Cotton,Becker,Rochert,1720.0,781.0,28.0,13.5,,
Cottonwood,Grant,Donnelly,243.0,243.0,16.0,8.0,,
Cottonwood,Lyon,Cottonwood,323.0,323.0,7.0,2.3,,
Cowdry,Douglas,Alexandria,238.0,88.0,52.0,9.5,,
Cow Horn Lake,Itasca,,,,,,,
CP Adams Pond,Dakota,Hastings,20.0,20.0,12.0,2.5,,
Crane,Hennepin,Oak Knoll,39.0,39.0,14.0,6.0,,
Crane,Otter Tail,Battle Lake,367.0,202.0,43.0,11.0,,
Crane,St. Louis,Crane Lake,3088.0,618.0,80.0,7.5,69061600.0,
Crawford,Wright,Montrose,110.43,107.0,19.0,14.0,,
Crescent,Cook,Grand Marais,744.0,558.0,28.0,11.0,,
Crescent,Sherburne,Clear Lake,50.0,50.0,,2.49,,
Crescent 1 Pond,Sherburne,Clear Lake,,,,,,
Crescent 2 Pond,Sherburne,Clear Lake,,,,,,
Crew Pond,Morrison,Lincoln,,,,,,
Crooked,Itasca,Marble,418.0,104.0,60.0,3.1,,
Crooked,Stearns,Clearwater,77.08,36.0,35.0,14.0,,
Crooked Pond,Stearns,Clearwater,8.0,8.0,12.0,5.0,,
Crookneck,Morrison,Lincoln,179.29,131.0,22.0,12.8,,
Cross,Crow Wing,Cross Lake,1751.0,879.0,84.0,12.0,,
Cross,Pine,Pine City,943.0,507.0,30.0,4.0,,
Cross,Polk,Fosston,328.0,303.0,19.0,7.0,,
Crossways,Anoka,Centerville,356.0,356.0,,6.9,,
Crow,Cook,Brooten,600.0,560.0,30.0,8.0,,
Crow,Stearns,Belgrade,279.0,279.0,9.0,3.0,,
Crow Wing,Crow Wing,Ft Ripley,382.0,210.0,26.0,7.0,,
Cruiser,St. Louis,Ray,115.0,22.0,91.0,27.0,,
Crystal,Dakota,Burnsville,280.0,208.0,37.0,2.8,,
Crystal,Hennepin,Robbinsdale,79.12,53.0,39.0,,,
Crystal,Otter Tail,Pelican Rapids,1412.0,674.0,55.0,6.8,,
Crystal,Stevens,Morris,185.0,185.0,,,,
Cub,Stearns,Fairhaven,0.7,0.7,8.0,2.0,,
Cullen (Lower),Crow Wing,Nisswa,512.0,180.0,39.0,11.0,,
Cullen (Middle),Crow Wing,Nisswa,382.0,127.0,48.0,14.5,,
Cullen (Upper),Crow Wing,Nisswa,435.0,300.0,40.0,16.0,,
Cummings,Redwood,Delhi,4.0,4.0,14.0,7.0,,
Curfman,Becker,Shoreham,120.91,85.0,24.0,6.9,,
Currant,Murray,Balaton,377.0,377.0,9.5,0.9,,
Current Lake Marsh,Murray,Balaton,56.0,56.0,11.0,1.6,,
Cut Foot Sioux,Itasca,Squaw Lake,2768.0,1324.0,78.0,12.2,,
Cutaway,Itasca,Bovey,257.0,98.0,55.0,12.0,,
Cut-Off,Itasca,Cohasset,28.0,28.0,4.0,2.0,,
Dago,Pine,Willow River,107.0,107.0,20.0,11.0,,
Dahlgren Slough,Wright,Cokato,,,,,,
Dallas,Stearns,Clearwater,20.0,16.0,22.0,5.5,,
Dam,Aitkin,Aitkin,642.0,256.0,48.0,10.5,,
Dane,Otter Tail,,,,,,,
Daniel,Clearwater,Shevlin,56.55,56.55,27.0,10.8,,
Daniels,Cook,Grand Marais,508.62,86.0,90.0,18.5,,
Danielson Slough,Pope,Cyrus,36.0,36.0,9.0,0.7,,
Danzel Slough,Sherburne,Orrock,16.0,16.0,,2.79,,
Dark,Koochiching,Gemmell,119.61,70.0,50.0,6.0,,
Dark,St. Louis,Buhl,232.0,138.0,31.0,17.0,,
Dark,St. Louis,Winton,38.0,38.0,10.0,5.0,,
Darling,Douglas,Alexandria,954.0,477.0,62.0,9.0,,
Darwin,Meeker,Darwin,171.0,171.0,,4.0,,
Davenport,Stearns,Sartell,8.0,8.0,7.0,2.0,,
Davis (Main Bay),Aitkin,McGregor,76.5,18.0,32.0,4.3,,
Davis,Renville,Morton,13.0,13.0,15.0,5.0,,
Days,Stearns,Kimball,31.0,31.0,24.0,6.0,,
Dayton Hollow Reservoir,Otter Tail,Fergus Falls,227.28,139.0,32.0,6.0,,
Dead,Becker,Frazee,274.0,249.0,19.0,1.8,,
Dead,Hubbard,Dorset,292.0,172.0,34.0,16.0,,
Dead,Otter Tail,Dent,7901.0,6537.0,65.0,4.83,,
Deadman,Otter Tail,Morse Township,83.0,83.0,7.0,1.0,,
Dead Coon,Lincoln,Arco,569.0,569.0,9.0,2.5,,
Dean,Wright,Buffalo,175.78,125.0,20.0,3.5,,
Deep,Stearns,Richmond,54.48,12.0,54.0,14.0,,
Deer,Aitkin,Malmo,45.0,45.0,11.0,4.3,,
Deer,Beltrami,Bemidji,262.0,118.0,42.0,,,
Deer,Itasca,Deer River,4097.0,920.0,121.0,9.5,,
Deer,Itasca,Effie,1748.0,1332.0,50.0,10.5,,
Deer,Morrison,Fort Ripley,,,,,,
Deer,Otter Tail,Battle Lake,457.0,306.0,26.0,9.5,,
Deer,Wright,Buffalo,171.06,126.0,27.0,4.5,,
Deer Pond,Washington,Lake Elmo,7.0,6.0,9.0,4.0,,
Del Clark,Yellow Medicine,Candy,156.3,88.0,30.0,5.1,,
Demontreville,Washington,Lake Elmo,143.0,129.0,24.0,12.0,,
Denger,Morrison,Lastrup,26.0,26.0,,5.22,,
Detroit,Becker,Detroit Lakes,3083.0,1895.0,89.0,7.3,3038100.0,
Dettmans,McLeod,Jennie,33.0,33.0,8.0,2.6,,
Devil Track,Cook,Grand Marais,1838.0,626.0,50.0,,,
Devils,Douglas,Brandon,221.0,150.0,35.0,7.5,,
Devils,Otter Tail,Perham,314.0,211.0,67.0,13.2,,
Devine,St. Louis,Rollins,20.0,20.0,9.0,5.344,,
Dewey,St. Louis,Chisholm,195.0,76.0,40.0,11.0,,
Dewitt Marsh,Mille Lacs,Warman,90.0,90.0,9.0,5.984,,
Diamond,Hennepin,Minneapolis,115.0,115.0,6.0,4.0,,
Diamond,Hennepin,Rogers,408.0,406.0,8.0,,,
Diamond Pond,Cass,Hackensack,4.6,4.6,6.0,3.0,,
Diamond,Kandiyohi,Atwater,1565.0,635.0,27.0,3.0,,
Diann,Sherburne,Lake Fremont,81.0,81.0,8.0,5.97,,
Dickey's,Hennepin,Long Lake,12.0,7.0,26.0,,,
Dickman,Dakota,Sunfish Lake,24.0,24.0,13.0,2.0,,
Dinham,St. Louis,Melrude,207.0,132.0,25.0,3.5,,
Dinner Pail,Itasca,Hill City,47.0,21.0,30.0,9.0,,
Dixon,Itasca,Squaw Lake,616.0,478.0,29.0,5.5,,
Dodd's Quarry #20,Sherburne,St Cloud,,,,,,
Doefler,Wright,Highland,89.0,89.0,,2.07,,
Dog,Wright,Oster,96.57,73.0,25.0,2.5,,
Dogfish,Aitkin,Aitkin,34.6,9.0,85.0,2.0,,
Dolney,Crow Wing,Emily,271.0,268.0,16.0,11.0,,
Donora Settling Basin,St Louis,Ridge,110.0,110.0,140.0,36.0,,
Dora,Itasca,Wirt,447.0,422.0,18.0,8.7,,
Doran,Clay,Hawley,112.0,,7.0,2.5,,
Double,Cottonwood,Storden,246.0,246.0,9.0,2.0,,
Dovre,St. Louis,Crane Lake,120.0,114.0,17.0,5.0,,
Dower,Todd,,,,,,,
Duck,Hubbard,Hubbard,326.0,151.0,23.0,5.5,,
Duck Pond,Sherburne,Orrock,,,,,,
Duffy,Sherburne,Orrock,8.0,8.0,,2.46,,
Dugout Pond,Sherburne,Crown,,,,,,
Dumbbell,Lake,Isabella,437.0,202.0,40.0,22.0,,
Dummer,Aitkin,Bennettville,31.0,27.0,33.0,8.0,,
Dunbar,Itasca,Squaw Lake,254.0,162.0,30.0,5.0,,
Dunder Pond,Morrison,Upsala,28.0,28.0,10.0,4.8,,
Durgin Slough,Sherburne,Orrock,,,,,,
Dutch,Hennepin,Mound,160.0,83.0,45.0,2.3,,
Dutch,Wright,Howard Lake,153.0,112.0,21.0,2.3,,
Dutchman,Beltrami,Hines,171.0,171.0,6.0,1.6,,
Dutchman,Cook,Grand Portage,46.0,46.0,16.0,6.9,,
Dynamite Pond,Stearns,Eden Valley,,,,,,
Eagle,Becker,Frazee,308.0,141.0,29.0,7.2,,
Eagle,Blue Earth,Madison Lake,914.0,914.0,9.0,1.5,,
Eagle,Crow Wing,Deerwood,239.0,65.0,44.0,4.9,,
Eagle,Crow Wing,Fifty Lakes,358.0,190.0,36.0,15.8,,
Eagle,Hennepin,Maple Grove,291.0,199.0,34.0,4.3,,
Eagle,Hubbard,Park Rapids,411.0,164.0,77.0,9.0,,
Eagle,Itasca,Marcell,279.0,209.0,47.0,,,
Eagle,Kandiyohi,Willmar,824.0,274.0,67.0,8.5,,
Eagle,Otter Tail,Battle Lake,845.0,157.0,46.0,22.6,,
Eagle,Sherburne,Big Lake,462.42,330.0,18.0,2.0,,
Eagle,Sherburne,Elk River,5.0,5.0,,4.59,,
Eagle,Stearns,Richmond,37.0,37.0,7.0,4.0,,
Eagle,Wright,Maple Lake,190.86,169.0,38.0,4.2,,
Eagle Point,Washington,,,,,,,
Eagles Nest 1,St. Louis,Ely,322.0,88.0,76.0,19.0,,
Eagles Nest 2,St. Louis,Ely,408.0,229.0,39.0,14.0,,
Eagles Nest 3,St. Louis,Soudan,1001.0,553.0,49.0,18.0,,
Eagles Nest 4,St. Louis,Ely,177.0,83.0,49.0,18.0,,
East,Stearns,Richmond,242.0,242.0,9.0,4.0,,
East Battle,Otter Tail,Henning,1949.0,825.0,87.0,7.7,,
East Chub,Lake,Isabella,64.0,64.0,9.0,,,
East Crooked,Hubbard,Nevis,365.0,120.0,96.0,17.5,,
East Gemini,Stearns,Collegeville,62.0,62.0,11.0,4.0,,
East Hunter,Sherburne,Crown,56.9,54.51,7.0,5.5,,
East Jefferson,Le Sueur,Cleveland,700.0,343.0,37.0,4.0,,
East Leaf,Otter Tail,Henning,404.0,113.0,47.0,8.0,,
East Lost,Otter Tail,Battle Lake,501.0,327.0,36.0,10.2,,
East Mahnomen,Crow Wing,Trommald,81.0,81.0,10.0,9.8,,
East Murray Island,Stearns,Kimball,23.0,23.0,28.0,2.6,,
East Nelson,Morrison,Motley,,,5.0,,,
East Niemaki,Grant,Herman,177.0,177.0,7.0,3.0,,
East Park WMA,Marshall,Strandquist,405.0,405.0,12.0,11.968,,
East Pipe,Cook,Lutsen,105.03,105.03,12.0,4.5,,
East Pope,Cook,Grand Marais,35.53,19.0,28.0,10.3,,
East Side,Mower,Austin,39.0,39.0,10.0,2.0,,
East Robinson,St Louis,Robinson,26.0,26.0,5.0,3.9,,
East Silent,Otter Tail,Dent,310.0,58.0,48.0,16.0,,
East Soloman,Kandiyohi,Willmar,706.0,706.0,14.0,12.0,,
East Thomas,Dakota,Eagan,10.0,10.0,9.0,3.9,,
East Toqua,Big Stone,Graceville,436.64,428.0,9.0,1.3,,
East Twin,Lyon,Florence,352.0,224.0,22.0,3.2,,
East Twin,Morrison,Flensburg,18.0,18.0,,5.15,,
East Twin,Wright,Monticello,21.0,21.0,12.0,4.56,,
East & West Stephens Settling Basin,St Louis,Ridge,275.0,275.0,132.0,33.0,,
Echo,Washington,Pine Springs,28.0,28.0,14.0,4.93,,
Eden,Stearns,Eden Valley,263.0,124.0,77.0,5.5,,
Eden Slough,Stearns,Marty,25.0,25.0,8.0,5.0,,
Edith,Cook,Grand Marais,10.0,10.0,44.0,8.5,,
Edmund,Itasca,Marcell,50.0,,12.0,1.9,,
Edna,Otter Tail,Butler,115.0,115.0,8.0,2.3,,
Edward,Crow Wing,Merrifield,2576.0,1198.0,75.0,12.0,,
Edward,Wright,West Albion,96.0,96.0,10.0,3.31,,
Eight,Kandiyohi,,,,,,,
Eighth Crow Wing,Hubbard,Nevis,492.0,153.0,30.0,,,
Eighty Acre,Meeker,Dassel,36.0,36.0,10.0,5.0,,
Eilers,Sherburne,Clear Lake,25.0,25.0,,4.2,,
Elbow,Becker,Waubun,1001.0,200.0,76.0,15.0,,
Elbow,Cook,Grand Marais,437.0,437.0,9.0,4.5,,
Elbow,Cook,Tofte,516.0,382.0,23.0,7.0,,
Elbow,Otter Tail,Battle Lake,189.0,80.0,46.0,24.0,,
Elbow,Pine,Finlayson,103.0,73.0,33.0,5.0,,
Elbow,St. Louis,Orr,1659.0,664.0,60.0,6.0,,
Elbow,St. Louis,Iron Junction,165.0,130.0,22.0,9.0,,
Elbow Pond,Sherburne,Orrock,,,,,,
Elephant,St. Louis,Orr,742.0,331.0,30.0,2.8,,
Eleven,Kanabec,Kroschel,290.0,290.0,13.0,3.2,,
Eleven,Pine,Sturgeon Lake,109.0,69.0,49.0,7.0,,
Eleventh Crow Wing,Hubbard,Akeley,790.0,169.0,80.0,14.0,,
Elizabeth,Kandiyohi,Atwater,1054.0,1054.0,9.0,4.0,,
Elk,Clearwater,Lake Itasca,271.0,73.0,93.0,13.7,,
Elk,Grant,Hoffman,190.0,97.0,29.0,6.5,,
Elk (Big),Sherburne,Clear Lake,360.0,360.0,9.0,1.9,,
Elk (Little),Sherburne,Zimmerman,353.0,353.0,15.0,2.5,,
Elk Pond,Sherburne,Elk River,,,,,,
Ellering,Stearns,Greenwald,34.0,34.0,34.5,6.0,,
Elliot,St. Louis,Eveleth,398.0,398.0,13.0,10.0,,
Elm Island,Aitkin,Aitkin,522.0,389.0,25.0,,,
Elmo,Washington,Lake Elmo,206.0,44.0,140.0,14.0,,
Elora,St. Louis,Cotton,296.0,110.0,35.0,9.7,,
Ely,St. Louis,Eveleth,673.0,225.0,70.0,15.0,,
Elysian,Waseca,Elysian,1902.0,1902.0,13.0,,,
Elysian Outlet Marsh,Waseca,Elysian,124.0,124.0,8.0,1.0,,
Embarrass,St. Louis,Biwabik,442.0,407.0,19.0,5.0,,
Embarrass Mine Pit,St. Louis,Aurora,156.08,12.5,465.0,33.0,,
Ember,Wright,Silver Creek,58.93,23.0,45.0,11.0,,
Emily,Crow Wing,Emily,664.0,664.0,13.0,6.0,,
Emily,Le Sueur,St. Peter,235.0,165.0,37.0,2.0,,
Emily,Pope,Hancock,2377.0,2377.0,7.0,1.5,,
Emily,Ramsey,Arden Hills,13.0,13.0,10.0,3.0,,
Emma,Hubbard,Dorset,78.43,31.0,50.0,11.8,,
Emma,Meeker,Crow River,51.0,51.0,12.0,1.3,,
Emma,Otter Tail,Clitherall,274.0,274.0,7.0,2.3,,
Emma,Wright,Howard Lake,188.57,179.5,17.0,8.3,,
Englemein,Stearns,Albany,31.0,31.0,24.0,10.0,,
English Grove,Douglas,,,,,,,
Ensign,Lake,Ely,1408.0,675.0,30.0,11.0,,
Ericson,Morrison,Fort Ripley,,,,,,
Erie,Meeker,Darwin,189.55,82.0,34.0,7.0,,
Eskwagama,Lake,Silver Rapids,88.09,88.09,12.0,5.0,,
Esquagama,St. Louis,Biwabik,366.0,82.0,90.0,8.0,,
Esquagamah,Aitkin,Palisade,853.0,520.0,31.0,4.0,,
Ethel,Otter Tail,Ottertail,194.0,69.0,64.0,14.0,,
Eunice,Becker,Audubon,325.0,187.0,30.0,14.8,,
Evenson,Meeker,Strout,130.0,130.0,,2.4,,
Everett,St. Louis,Ely,109.0,109.0,15.0,8.0,,
Evergreen,Hubbard,Lake George,200.0,87.0,38.0,21.5,,
Evergreen Ponds,Ramsey,Shoreview,18.0,18.0,18.0,4.672,,
Fadden,Wright,Rassat,20.13,11.0,48.0,2.1,,
Fairy,Todd,Sauk Centre,297.0,140.0,37.0,,,
Fall,Lake,Winton,2173.0,1178.0,32.0,7.0,38081100.0,
Fallon,Meeker,Jennie,256.0,256.0,,3.54,,
Fannie,Isanti,Cambridge,366.0,308.0,33.0,6.2,,
Farm,Lake,Ely,1328.0,459.0,56.0,8.0,,
Farm Island,Aitkin,Bennettville,2054.0,883.0,56.0,11.0,1015900.0,
Farm Pond,Stearns,Avon,5.0,5.0,9.0,6.0,,
Father Pond,Stearns,St Martin,14.0,14.0,8.0,3.0,,
Feldges,Stearns,Clearwater,24.35,19.0,17.0,12.0,,
Fenske,St. Louis,Ely,105.0,63.0,43.0,14.0,,
Ferrell,Morrison,Randall,53.0,53.0,,7.5,,
Fiecke Marsh,Stearns,St Nicholas,29.0,29.0,11.0,3.3,,
Fifteen,Clay,Hawley,139.0,99.0,22.0,8.0,,
Fifth Crow Wing,Hubbard,Nevis,392.0,196.0,35.0,4.9,,
Fink,Stearns,Saint Nicholas,34.0,34.0,12.0,4.608,,
Finn Pond,Lake,Isabella,4.12,4.12,4.5,2.0,,
Firemen's Clayhole,Carver,Chaska,8.49,7.0,23.0,4.25,,
First,Wright,Monticello,17.09,9.2,37.0,5.5,,
First Crow Wing,Hubbard,Hubbard,526.0,526.0,15.0,12.5,,
First Fulda,Murray,Fulda,179.0,179.0,7.0,1.0,,
Fish,Anoka,East Bethel,334.29,334.29,10.0,6.0,,
Fish,Cass,Hackensack,35.05,30.5,43.0,13.8,,
Fish,Cass,Poplar,47.0,47.0,35.0,13.8,,
Fish,Chisago,Harris,306.0,141.0,57.0,10.0,,
Fish,Dakota,Eagan,31.0,24.0,34.0,4.0,,
Fish,Hennepin,Maple Grove,223.0,45.0,48.0,2.7,,
Fish,Jackson,Windom,300.0,150.0,26.0,5.0,,
Fish,Kanabec,Mora,506.0,503.0,8.0,1.7,,
Fish,Lake,Prairie Portage,96.91,73.0,30.0,12.1,,
Fish,Le Sueur,Waterville,77.4,33.0,55.0,7.2,,
Fish,Martin,Ceylon,140.0,140.0,14.0,1.3,,
Fish,Martin,Odin,155.63,155.63,5.0,1.0,,
Fish,Otter Tail,Parkers Prairie,435.0,428.0,17.0,5.0,,
Fish,Otter Tail,Pelican Rapids,261.0,127.0,69.0,9.0,,
Fish,Otter Tail,Fergus Falls,888.0,888.0,19.0,4.0,,
Fish,Pine,Finlayson,184.59,184.59,18.0,8.5,,
Fish,Sherburne,Clearwater,60.0,60.0,12.0,9.5,,
Fish[12],St. Louis,Duluth,3258.5,2953.2,36.0,4.3,,
Fish,Scott,Prior Lake,171.0,74.0,28.0,6.5,,
Fish,Sherburne,Clear Lake,60.0,60.0,,7.9,,
Fish,Stearns,Belgrade,178.0,178.0,8.0,6.0,,
Fish,Stearns,St Anthony,38.0,38.0,15.0,7.0,,
Fish,Stevens,Donnelly,178.0,178.0,8.0,0.3,,
Fish,Washington,Scandia,41.0,41.0,52.0,16.4,,
Fish,Washington,Woodbury,9.0,9.0,10.0,5.0,,
Fish,Washington,White Bear Lake,20.7,14.0,34.0,4.3,,
Fish,Wright,Hasty,97.35,58.0,38.0,3.0,,
Fishdance,Lake,Forest Center,185.0,185.0,54.0,16.4,,
Fishhook,Hubbard,Park Rapids,1632.0,661.0,76.0,9.5,,
Fish Hook River Dam,Hubbard,Park Rapids,128.0,128.0,22.0,8.2,,
Fish Trap,Crow Wing,Lake Hubert,38.0,38.0,9.0,7.2,,
Fiske,Otter Tail,Battle Lake,250.0,186.0,26.0,5.2,,
Five,Otter Tail,Vergas,224.0,108.0,77.0,14.0,,
Five Deer Pond,Morrison,Pillager,,,,,,
Five Island(Ball),Itasca,Effie,175.0,111.0,33.0,15.0,,
Five Point,Cass,Hackensack,219.0,88.0,37.0,6.0,,
Fladmark,Otter Tail,Erhard,51.93,21.0,45.0,22.4,,
Flanders,Crow Wing,Mission,134.01,60.0,16.0,10.0,,
Flax,Stevens,Alberta,122.0,122.0,16.0,0.3,,
Fleming,Aitkin,Palisade,296.0,290.0,15.0,,,
Flinks Slough,Lac qui Parle,Clarkfield,73.0,73.0,13.0,12.1,,
Floodwood,St. Louis,Goodland,328.0,157.0,55.0,7.5,,
Floodwood Pond,Aitkin,Hartley Spur,1.4,1.4,10.0,4.0,,
Florian Marsh,Marshall,Florian,46.0,46.0,9.0,3.0,,
Florian Park Reservoir,Marshall,Florian,42.7,42.7,23.0,3.0,,
Florida,Kandiyohi,Spicer,674.0,267.0,40.0,10.5,,
Flowage,Aitkin,McGregor,705.0,,8.0,2.0,,
Floyd,Becker,Detroit Lakes,1212.0,861.0,34.0,12.0,,
Fog,Mille Lacs,,,,,,,
